,x,y,z,vx,vy,vz
59,-0.6512739686672,-0.9616725063549999,-0.6512739686672,0.126323,0.5356338,0.31201315
60,0.08521974133280003,-0.403307336355,0.08521974133280003,-0.0030840696,-0.33881837,-0.47351325
61,0.13415156133279998,0.11953967364499998,0.13415156133279998,-0.52695018,-0.16451885,0.56281883
62,-0.9799807086672,-2.485796936355,-0.9799807086672,-0.050696328,-0.050188657,-0.11348909
63,0.15406557133280002,-0.139989538355,0.15406557133280002,-0.48543066,-0.2549752,-0.50907272
64,-0.19845001866720002,0.10418232364499999,-0.19845001866720002,0.79829335,0.17847799,0.712277
65,1.2476465213327999,-1.707232936355,1.2476465213327999,0.1364166,-0.19053431,-0.29447928
66,0.9057633213328,0.06697366364499999,0.9057633213328,0.30469742,-0.62448621,0.42378181
67,0.12461613133280003,-0.22307712635500002,0.12461613133280003,-0.57167238,0.29357466,-0.031517819
68,0.5285823913328,-0.22596116635500002,0.5285823913328,-0.23011598,0.61476743,-0.57739776
69,-0.00021782166719998953,0.076143883645,-0.00021782166719998953,-0.53685713,0.037211694,-1.0353258
70,0.17806190133279998,-0.269696986355,0.17806190133279998,0.50285846,-0.12290965,0.3583504
71,0.8488304013328,-0.25044084635499997,0.8488304013328,-0.50622129,0.19507934,0.64814329
72,-0.9485705486672,0.5742540136450001,-0.9485705486672,0.4066276,-0.21333241,-0.34122789
73,0.18236893133280002,0.360107253645,0.18236893133280002,0.43669686,0.11779422,-0.39464268
74,-0.6430965686672,-0.32443832635500003,-0.6430965686672,0.1287808,0.40991536,-0.16699278
75,0.10698910133280001,-0.388158436355,0.10698910133280001,-0.0061685368,0.47703478,0.32756478
76,0.1966483713328,0.257175873645,0.1966483713328,-0.47277316,0.4915542,-1.1106941
77,0.021786783332800007,-0.016705564354999997,0.021786783332800007,-0.29646766,-0.4633998,0.63238341
78,0.03651069533280001,-0.615675296355,0.03651069533280001,-0.35172519,-0.049381614,-0.77399772
79,-0.20620904866720002,-0.413608986355,-0.20620904866720002,0.22903158,0.16089788,-0.025392665
80,0.08743622133280002,0.933463073645,0.08743622133280002,-0.29316229,-0.16210365,-0.90652448
81,-0.10808807966719998,-0.102575271355,-0.10808807966719998,0.53931844,0.77985644,-0.30069637
82,1.2532094213328,1.583181863645,1.2532094213328,-0.064033374,0.065655053,0.26850474
83,-0.36511039866719996,0.05904859364500001,-0.36511039866719996,0.92647552,-0.32347012,0.4512248
84,0.43877473133280004,-0.264012746355,0.43877473133280004,0.40543237,-1.0940624,0.42378747
85,0.9251721513328001,-0.8664181463549999,0.9251721513328001,-0.49112755,-0.57602555,0.55079192
86,0.19807356133280002,0.21782929364499998,0.19807356133280002,-0.67887837,0.066933781,-0.20873989
87,0.0971161813328,0.34014780364499997,0.0971161813328,-0.38944709,-0.7272625,-0.15606596
88,-0.037960173467199994,-0.091796952355,-0.037960173467199994,0.38867807,0.36550647,-0.22117679
89,0.3965549113328,0.33767289364499997,0.3965549113328,-0.22361547,-0.084619924,-0.28690147
90,0.20736086133280002,-0.381903786355,0.20736086133280002,-0.0445484,0.40067354,0.27421069
91,-0.8984761286672,0.7499131936450001,-0.8984761286672,-0.1125448,0.030196201,-0.62021768
92,0.09611520133280002,-0.09335985635499999,0.09611520133280002,0.54147905,0.10457502,-0.40488583
93,-0.1859083686672,-0.013298637355,-0.1859083686672,-1.3277174,0.038904775,0.15618291
94,-0.6509783886672,-0.9635192363549999,-0.6509783886672,0.29913965,0.30381373,-0.27003291
95,0.3056635813328,-0.057221960754999995,0.3056635813328,0.57006359,0.48180217,-0.038823929
96,-0.11191197866719998,-0.015805746355,-0.11191197866719998,-0.60796863,1.5053834,-0.56808454
97,-0.007870144667199992,-0.002849376354999999,-0.007870144667199992,-0.45381543,0.35910988,0.76762617
98,-0.37321755866719997,0.939995143645,-0.37321755866719997,-0.64667141,-0.42615122,0.20901483
99,-0.7546610886671999,-0.192122716355,-0.7546610886671999,0.32682759,1.1431522,-0.048802163
100,0.04994515733280001,-0.997860636355,0.04994515733280001,-0.46089694,-0.14305395,-0.54186916
101,0.3953240813328,0.697589193645,0.3953240813328,0.12832771,0.010846647,0.55123514
102,0.0865068513328,-0.172851526355,0.0865068513328,-0.0015333819,0.21180665,0.15552713
103,-0.3235416486672,0.266879683645,-0.3235416486672,0.72960448,-0.33767059,0.10704315
104,0.1907324913328,-1.281800136355,0.1907324913328,0.17628971,-0.034394246,-0.36250082
105,-0.5510223586672,0.639103863645,-0.5510223586672,-0.92076439,-0.39961252,-0.04711815
106,-0.1422362806672,-0.10701596635499999,-0.1422362806672,0.41640195,0.20166914,0.54219115
107,-0.1570755886672,-0.114732014355,-0.1570755886672,-0.40290058,-0.600474,0.79199213
108,-1.5012514786672,-0.708506966355,-1.5012514786672,-0.30071178,0.16033375,-0.49747601
109,0.04653019833280001,0.290103773645,0.04653019833280001,-0.0035094721,-0.25588521,0.24043493
110,2.0287691213328,-1.074354236355,2.0287691213328,0.025905371,-0.31013453,-0.1593675
111,-1.5808488786672001,-1.0907248363550002,-1.5808488786672001,-0.22245729,0.0025189344,0.24338908
112,0.17323561133280002,0.209708073645,0.17323561133280002,0.80767733,0.76593447,0.37113866
113,-0.22940543866719998,0.021573090644999997,-0.22940543866719998,0.5992223,1.3662769,-0.023548812
114,-0.3054039786672,0.065126873645,-0.3054039786672,-0.41190943,-0.053970877,0.089154378
115,-0.10089341866719999,-0.021969470354999996,-0.10089341866719999,-0.47192281,0.98024768,0.80021816
116,0.8732578713328,1.5234024636449999,0.8732578713328,-0.27559221,0.1478335,0.39373079
117,0.1436567113328,0.39807028364499997,0.1436567113328,0.36616039,-0.49516928,-0.00415387
118,0.24462088133280002,0.18938602364499998,0.24462088133280002,0.42033991,-0.63555408,-0.29929683
119,-0.7331311786672,-1.535390236355,-0.7331311786672,-0.098511785,0.034481388,-0.064267844
120,-0.06377063666719998,-0.968611556355,-0.06377063666719998,0.15955073,-0.38365671,0.30889621
121,-0.3780101586672,-0.482915716355,-0.3780101586672,0.27299055,0.53854507,-0.62794918
122,-0.06657500766719998,-0.19277017635500002,-0.06657500766719998,0.53094906,0.87361622,0.72859663
123,-0.04076654336719999,-0.252800186355,-0.04076654336719999,0.20147236,-0.98140329,0.52219748
124,-2.5463468786672,-0.7970548463549999,-2.5463468786672,0.28823802,0.35716552,-0.34470484
